artist,mean_pitch,pitch_std,pitch_range,intensity,f1,f2,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_flatness,zero_cross_rate,tempo
Kanye West,627.549495017682,614.828251554349,1954.5454545454545,-65.325554,1077.69,1893.33,-351.89,31.68,-21.54,-4.29,-11.27,-10.92,-17.68,-8.34,-12.98,-4.92,-10.02,-2.85,-7.13,2335.7883092059856,2025.9612529290284,0.018319404,0.11416934048748921,[151.99908088]
Cardi B,322.3760332505324,297.3731067060472,1954.5454545454545,-55.341606,990.69,1843.63,-177.52,44.18,-19.98,-6.75,-14.55,-16.49,-10.93,-13.38,-13.58,-18.41,-13.56,-7.77,-12.06,3348.5029831065344,2702.201032584563,0.04339835,0.18844563550132223,[135.99917763]
Elton John,335.92050768593356,272.08272899558665,1954.5454545454545,-69.34637,1103.57,2605.17,-373.66,39.52,-44.0,-25.81,-19.57,-16.99,-12.06,-11.83,-16.41,-0.44,-12.65,-4.29,-6.21,2993.8426941102207,2374.153142156361,0.077056415,0.20640949764980004,[143.5546875]
Tom Macdonald,349.95603048253065,412.073432666474,1954.5454545454545,-51.97978,1069.64,2036.14,-133.85,17.63,-5.77,14.3,-9.36,-12.42,-22.1,-0.97,-14.98,-7.58,-9.41,-6.61,-10.14,3567.6060052782027,2608.3203659445016,0.049079042,0.21086172570385062,[86.1328125]
