,mean_hnr,mean_cpp,mean_flatness,mean_voiced_prob
Kanye West,-8.301432585369477,0.7055423727416626,0.016346851363778114,0.24777189919298984
Cardi B,-7.538501170828385,0.6484491841905872,0.03333229199051857,0.11942390122478583
Elton John,-10.62939403180926,0.6941810765427479,0.072923943400383,0.11699961397793336
Tom Macdonald,-7.734292099435913,0.5718395191816159,0.03811611607670784,0.07335839135161709
Kanye West (AI),-6.4694517340001605,0.7362800151195058,0.03111342340707779,0.16399395231282413
Cardi B (AI),-6.636457734970711,0.5369035479296816,0.03457107022404671,0.1587041140330159
Elton John (AI),-5.9443717211329,0.9252801965300206,0.01626315899193287,0.2070042520014082
Tom Macdonald (AI),-8.463539139676268,0.602246247884601,0.034668147563934326,0.1157199578027186
