,mean_f0,mean_hnr,mean_cpp,mean_jitter,mean_shimmer,mean_energy,mean_spectral_centroid,is_ai,base_artist
Kanye West,269.3865106121551,3.052054385302518,12.189188062799035,0.016163832880345997,0.12936056106704166,0.02336277,2117.489744846575,False,Kanye West
Cardi B,252.50515782610807,5.756537779764712,27.01268084872603,0.019209795383805912,0.14991357228073227,0.025011102,3547.9582296861104,False,Cardi B
Elton John,235.12306167654728,5.347029380354176,12.929431026544425,0.029737310751018375,0.16539285321019925,0.0110998005,2314.4980470219602,False,Elton John
Tom Macdonald,221.44970368368587,6.481339139746815,22.716985894165177,0.020261503201529866,0.1396990092622446,0.028717423,3524.8858053241065,False,Tom Macdonald
Kanye West (AI),258.8743709072274,8.421819493118608,17.94449347643598,0.018110882874051163,0.12252543401071166,0.021253942,2873.8057492564935,True,Kanye West
Cardi B (AI),258.29334359926537,7.593895493694468,22.19868112548967,0.019497939099479535,0.13089886609821433,0.022747036,3239.9539455044683,True,Cardi B
Elton John (AI),224.47853606800183,8.512489633768011,16.393515687676462,0.03409147235019587,0.14479333922774895,0.026976671,2447.570364883883,True,Elton John
Tom Macdonald (AI),247.74174863188856,7.67467831901376,23.983297783056546,0.0243712057484131,0.12536887896811716,0.038674384,3292.58381561279,True,Tom Macdonald
