artist,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_centroid,spectral_bandwidth,spectral_flatness,zero_cross_rate,spectral_rolloff,tempo,rms_energy
Kanye West,-180.114,140.801,-8.069,18.423,11.005,6.493,3.752,5.116,1.203,3.64,0.016,0.638,0.916,0.506,0.548,0.4,0.453,0.404,0.509,0.432,0.481,0.567,0.421,0.466,0.362,1180.4830237126846,1424.6743550261913,0.008605234,0.04623947604346419,2442.578672683887,[99.38401442],0.19492969
Cardi B,-351.291,60.76,43.293,35.45,25.599,26.495,13.098,17.644,10.231,11.618,7.903,6.803,5.031,0.647,0.597,0.528,0.482,0.439,0.428,0.463,0.541,0.53,0.533,0.533,0.618,1216.7286746280079,1388.8468871805817,0.00794115,0.05069124046617002,2397.545224594258,[89.10290948],0.18691465
Elton John,-124.011,87.502,32.039,36.247,12.214,14.828,0.498,7.22,-1.751,0.847,-0.97,0.8,-2.975,0.382,0.343,0.448,0.394,0.466,0.557,0.386,0.364,0.356,0.449,0.449,0.347,2237.8854620367347,2718.5837400278706,0.013612369,0.07718780486084237,5369.263366132329,[143.5546875],0.14446662
Tom Macdonald,-157.689,143.023,-23.217,22.948,22.592,17.791,18.564,9.306,-2.109,2.216,0.457,4.124,-2.101,0.428,0.538,0.66,0.489,0.474,0.547,0.431,0.44,0.477,0.586,0.43,0.392,1331.3078340639597,1456.839935317634,0.009310976,0.06074560143753225,2663.8213922364794,[172.265625],0.20374128
