artist,type,intensity,spectral_centroid,spectral_bandwidth,spectral_flatness,zero_cross_rate,tempo
Kanye West,Original,-60.14834,1651.2698018680849,1972.6687682056072,0.05358166,0.06182969300571696,99.38
Cardi B,Original,-62.65748,2469.3386086999158,2574.9756863513244,0.025156042,0.10426340941401904,136.0
Elton John,Original,-51.809776,2356.7146489533975,2705.8286778755587,0.019348525,0.0927623610802582,143.55
Tom Macdonald,Original,-51.051857,2827.6539626468093,2619.5156279509156,0.042172015,0.13907054532949387,86.13
Kanye West,AI,-52.366123,2928.356718994463,2767.925107541793,0.029915374,0.11227324168967714,152.0
Cardi B,AI,-55.27591,2989.4385976824256,2840.686115265257,0.037404817,0.13341275179820114,136.0
Elton John,AI,-50.517242,2244.574813579389,2441.434609176496,0.020199602,0.09617353793121526,143.55
Tom Macdonald,AI,-54.81917,2645.735367222836,2651.514990017421,0.03156989,0.11307076873871162,172.27
